Name,QuestId,DisplayName,MerchantId,QuestType,Description,TargetItemId,TargetEnemyId,TargetRegionId,TargetExtractId,TargetStoryFlag,TargetCount,StartRequiredTrustLevel,StartRequiredQuestId,StartRequiredStoryFlag,RewardCredits,RewardTrustPoints,RewardUnlockId,RewardItemId,RewardItemCount,RewardStoryFlag,FailureRuleTag,bIsRepeatable,bIsMainQuestLike,PriorityOrder,UIHintText
quest_minato_route_01,quest_minato_route_01,"初回搬出",merchant_minato,Collect,"港湾地区の倉庫から搬出台帳を回収せよ",quest_port_record_01,,kansai_industrial_01,,,1,1,,,800,20,,,0,story_minato_intro_done,,false,true,10,"港区南側の倉庫を探せ"
quest_minato_route_02,quest_minato_route_02,"搬出記録",merchant_minato,Collect,"港湾事務所から搬出記録を回収せよ",quest_port_record_01,,kansai_industrial_01,,,1,1,quest_minato_route_01,,1800,35,reward_minato_storage_01,,,story_minato_route_found,,false,true,20,"港区南側の事務所を探せ"
quest_minato_salvage_01,quest_minato_salvage_01,"廃材回収",merchant_minato,Collect,"工場エリアで廃材を 3 個回収せよ",equip_toolkit_01,,kansai_industrial_01,,,3,1,,,600,15,,,0,,,true,false,30,"工場内部に廃材が多い"
quest_sawabe_medical_01,quest_sawabe_medical_01,"医療品の調達",merchant_sawabe,Collect,"バンデージを 2 個持ち帰れ",med_bandage_01,,kansai_industrial_01,,,2,1,,,700,18,,,0,story_sawabe_first_contact,,false,false,10,"小出血の治療にも使える"
quest_sawabe_medical_02,quest_sawabe_medical_02,"診療所の裏口",merchant_sawabe,Discover,"研究搬送センター周辺の医療記録を持ち帰れ",quest_research_medlog_01,,kansai_industrial_01,,story_research_medlog,1,1,quest_sawabe_medical_01,,2200,35,reward_sawabe_respawn_01,med_trauma_kit_01,1,story_sawabe_backroom,,false,true,20,"研究施設の記録端末に注意"
quest_sawabe_research_01,quest_sawabe_research_01,"遺棄医療施設",merchant_sawabe,Discover,"近畿工業圏内の遺棄医療施設を発見せよ",,,kansai_industrial_01,,story_abandoned_clinic,1,2,quest_sawabe_medical_02,,1500,25,,,,story_clinic_found,,false,true,40,"地図には載っていない場所"
quest_kurogane_blueprint_01,quest_kurogane_blueprint_01,"設計図の回収",merchant_kurogane,Collect,"工場の設計図を持ち帰れ",quest_port_record_01,,kansai_industrial_01,,,1,1,,,1000,22,,,0,story_kurogane_blueprint,,false,true,10,"工場管理棟に保管されている"
quest_kurogane_repair_01,quest_kurogane_repair_01,"修理の素材",merchant_kurogane,Deliver,"修理キットを 1 個持ち込め",equip_toolkit_01,,kansai_industrial_01,,,1,1,quest_kurogane_blueprint_01,,900,20,,,0,,,false,false,20,"工具があれば作業が早い"
quest_yoshinaga_carry_01,quest_yoshinaga_carry_01,"試験輸送",merchant_yoshinaga,Deliver,"軽量の荷物を安全に持ち帰れ",equip_cable_hook_01,,kansai_industrial_01,,,1,1,,,1000,18,,,0,story_yoshinaga_first_route,,false,false,10,"まずは簡単な荷物から"
quest_yoshinaga_carry_02,quest_yoshinaga_carry_02,"落とさず運べ",merchant_yoshinaga,Deliver,"指定貨物を損傷なく持ち帰れ",quest_transport_case_01,,kansai_industrial_01,extract_courier_pickup,,1,1,quest_yoshinaga_carry_01,,2500,35,reward_yoshinaga_extract_01,equip_cable_hook_01,1,story_courier_pickup_unlocked,"(TagName=""Quest.Fail.ItemBroken"")",false,true,20,"貨物破損で失敗"
quest_amagi_intel_01,quest_amagi_intel_01,"情報収集",merchant_amagi,Discover,"アマギが指定した場所を視察せよ",,,kansai_industrial_01,,story_amagi_recon_done,1,1,,,1200,20,,,0,story_amagi_intro,,false,true,10,"目立たず行動せよ"
quest_amagi_collector_01,quest_amagi_collector_01,"紙切れの値段",merchant_amagi,TurnInCollectorItem,"珍しい年号の旧円紙幣を 3 枚納品せよ",cash_note_2020_01,,,,,3,1,,story_contact_amagi,1600,20,,ammo_9mm_fmj,1,story_collector_intro,,true,false,40,"ゾロ目や切り番の紙幣が高価値"
